Song Title,Artist,Google BPM,Spotify bpm,Songwise Bpm,Deezer BPM,Deezer Track URL,SongBPM BPM,SongBPM URL,Tunebat BPM,Tunebat URL,Deezer API BPM,Web Search BPM
Knew I Loved You,Savage Garden,86,85,94.7,84.9,https://www.deezer.com/track/15178704,170,https://songbpm.com/@savage-garden/i-knew-i-loved-you,,,84.9,
Faint,Linkin Park,135,135,131.4,135,https://www.deezer.com/track/14628999,135,https://songbpm.com/@linkin-park/faint,,,,
All Along the Watchtower,Jimi Hendrix,115,113,117.8,113.6,https://www.deezer.com/track/4952889,113,https://songbpm.com/@jimi-hendrix/all-along-the-watchtower,,,113.6,
Black Tangled Heart,Silverchair,138,138,131.4,137.3,https://www.deezer.com/track/848920,138,https://songbpm.com/@silverchair/black-tangled-heart,,,137.3,
Señorita,Justin Timberlake,98,98,104.5,98,https://www.deezer.com/track/970667,98,https://songbpm.com/@justin-timberlake/senorita,,,,98
She Loves You,The Beatles,152,75,76.0,149.8,https://www.deezer.com/track/116348596,,,,,149.8,
Now And Then,The Beatles,87,87,94.7,87,https://www.deezer.com/track/2522288451,,,,,,87
Here Comes The Sun,The Beatles,130,127,91.5,128.4,https://www.deezer.com/track/116348464,,,,,128.4,
Sunsets,Powderfinger,167,167,166.7,167.4,https://www.deezer.com/track/2539158,167,https://songbpm.com/@powderfinger/sunsets,,,167.4,
Semi-Charmed Life,Third Eye Blind,102,102,107.4,102.1,https://www.deezer.com/track/685709,102,https://songbpm.com/@third-eye-blind/semi-charmed-life,,,102.1,
Pink Pony Club,Chappell Roan,107,107,110.6,107,https://www.deezer.com/track/2454854845,107,https://songbpm.com/@chappell-roan/pink-pony-club,,,,
Tequila,Dan + Shay,86,86,90.7,172.27,https://www.deezer.com/track/441821132,86,https://songbpm.com/@dan-shay/tequila,,,172.27,
Naive,The Kooks,103,101,107.4,102.3,https://www.deezer.com/track/3158004,103,https://songbpm.com/@the-kooks/naive,,,102.3,
Don't Dream It's Over,Crowded House,82,81,161.5,162.13,https://www.deezer.com/track/7272485,82,https://songbpm.com/@crowded-house/don-t-dream-it-s-over,,,162.13,
Better Be Home Soon,Crowded House,92,94,99.2,92.5,https://www.deezer.com/track/7272472,94,https://songbpm.com/@crowded-house/better-be-home-soon,,,92.5,
Baby Did A Bad Bad Thing,Chris Isaak,153,148,152.0,153,https://www.deezer.com/track/1391362332,153,https://songbpm.com/@chris-isaak/baby-did-a-bad-bad-thing,,,,
Tennessee Whiskey,Chris Stapleton,50,49,98.4,152,https://www.deezer.com/track/98975170,49,https://songbpm.com/@chris-stapleton/tennessee-whiskey,,,152,
The King of Wishful Thinking,Go West,108,108,110.6,108,https://www.deezer.com/track/1787666357,108,https://songbpm.com/@go-west/the-king-of-wishful-thinking,,,,108
Folsom Prison Blues,Johnny Cash,102,111,114.0,111.4,https://www.deezer.com/track/75299638,102,https://songbpm.com/@johnny-cash/folsom-prison-blues,,,111.4,
Peace Train,Yusuf/Cat Stevens,82,82,110.6,82,https://www.deezer.com/track/1550811232,82,https://songbpm.com/@yusuf-cat-stevens/peace-train,,,,
Blow Up The Pokies,The Whitlams,80,82,110.6,157.8,https://www.deezer.com/track/428216362,82,https://songbpm.com/@the-whitlams/blow-up-the-pokies,,,157.8,
Beer Never Broke My Heart,Luke Combs,77,77,76.0,77,https://www.deezer.com/track/943400002,77,https://songbpm.com/@luke-combs/beer-never-broke-my-heart,,,,
Dance The Night,Dua Lipa,110,110,114.0,110,https://www.deezer.com/track/2299840635,110,,,,,
Are You Gonna Be My Girl,Jet,210,105,107.4,104.93,https://www.deezer.com/track/62166723,105,https://songbpm.com/@jet/are-you-gonna-be-my-girl,,,104.93,
Murder On The Dancefloor,Sophie Ellis-Bextor,121,117,117.8,117.1,https://www.deezer.com/track/4181750,117,https://songbpm.com/@sophie-ellis-bextor/murder-on-the-dancefloor,,,117.1,
Good Riddance (Time of Your Life),Green Day,95,95,126.4,94.6,https://www.deezer.com/track/778429,95,https://songbpm.com/@green-day/good-riddance-time-of-your-life,,,94.6,
3AM,Matchbox Twenty,108,108,110.6,108,https://www.deezer.com/track/72189643,108,https://songbpm.com/@matchbox-twenty/3am,,,108,
Love Yourself,Justin Bieber,100,100,104.5,99.86,https://www.deezer.com/track/112662368,100,https://songbpm.com/@justin-bieber/love-yourself,,,99.86,
Betterman,John Butler Trio,120,109,110.6,106.6,https://www.deezer.com/track/72822513,118,https://songbpm.com/@john-butler-trio/betterman,,,106.6,
Rock DJ,Robbie Williams,104,103,107.4,103.1,https://www.deezer.com/track/3102419,103,https://songbpm.com/@robbie-williams/rock-dj,,,103.1,
