Title,Artist,Preview URL,BPM,BPM Confidence,Key,Key Confidence,Energy,Danceability,Acousticness,Brightness (Hz),Time Signature,Valence,Mood,Loudness (dB),Dynamic Range (dB),Silence Ratio,Analysis Duration (s),Analyzed At
Young Hearts Run Free,Candi Staton,audiodata://Candi Staton/Young Hearts Run Free,112.34714673913044,0.7672883046363715,C Major,0.1287355667644697,0.6827453076839447,-0.014891427184672096,0.44601988446521523,2215.920462139139,4/4,0.686549061536789,happy,-5.116784572601318,7.882340955734252,0.0,1.1883561611175537,2025-11-11 17:32:49
You're the Voice,John Farnham,audiodata://John Farnham/You're the Voice,112.34714673913044,0.6992001651995841,F Minor,0.14200066811057882,0.07232866063714027,-0.2248643636669852,0.5207230445609359,1917.1078217562563,4/4,0.264465732127428,tense,-11.243048667907715,17.94246940612793,0.017027863777089782,1.2310490608215332,2025-11-11 17:32:48
You're Still The One,Shania Twain,audiodata://Shania Twain/You're Still The One,135.99917763157896,0.7764521722776173,D# Major,0.1264583906702768,0.14196374639868736,-0.026216892930642,0.4007528124742752,2396.9887501028993,4/4,0.7783927492797375,energetic,-14.726725578308105,25.4019193649292,0.011609907120743035,1.2943360805511475,2025-11-11 17:32:46
You'll Think Of Me - Single Version,Keith Urban,audiodata://Keith Urban/You'll Think Of Me - Single Version,112.34714673913044,0.6831022247220699,F# Minor,0.11268229429618361,0.32531286031007767,-0.236531807657346,0.15455529409932878,3381.778823602685,4/4,0.3150625720620155,tense,-21.799367904663086,76.82124738693237,0.15247678018575853,1.1623530387878418,2025-11-11 17:32:45
You Spin Me Round (Like a Record),Dead Or Alive,audiodata://Dead Or Alive/You Spin Me Round (Like a Record),129.19921875,0.7681172698715705,F# Major,0.1252331275893727,0.6504662185907364,-0.14065356023447462,0.2622366133377805,2951.053546648878,4/4,0.8800932437181472,energetic,-7.889137268066406,8.787582397460938,0.03637770897832817,1.2388150691986084,2025-11-11 17:32:43
You Shook Me All Night Long,AC/DC,audiodata://AC/DC/You Shook Me All Night Long,123.046875,0.557521185639896,D Major,0.13955852320467615,0.2543029636144638,-0.13412178267460217,0.40034229296955115,2398.6308281217953,4/4,0.8008605927228928,energetic,-12.526335716247559,18.77387399673462,0.014705882352941176,1.1200828552246094,2025-11-11 17:32:42
You Really Got Me - 2015 Remaster,Van Halen,audiodata://Van Halen/You Really Got Me - 2015 Remaster,135.99917763157896,0.5983343056837853,G# Major,0.1088125243459169,0.2947589233517647,0.0029363774470965998,0.3075906058298452,2769.637576680619,4/4,0.8089517846703529,energetic,-7.2263665199279785,9.608307552337646,0.006191950464396285,1.2097878456115723,2025-11-11 17:32:41
You Oughta Know - 2015 Remaster,Alanis Morissette,audiodata://Alanis Morissette/You Oughta Know - 2015 Remaster,103.359375,0.7290001557844022,F# Major,0.10286191942557384,0.15285512432456017,-0.006863894403038959,0.17734260612115882,3290.6295755153646,4/4,0.5805710248649121,neutral,-16.277267456054688,28.24199371337891,0.009287925696594427,1.1758649349212646,2025-11-11 17:32:39
You Never Can Tell,Chuck Berry,audiodata://Chuck Berry/You Never Can Tell,161.4990234375,0.7708657627309702,G Major,0.11784332401872245,0.38483744859695435,0.0055754025922802875,0.5365340469273574,1853.8638122905704,4/4,0.8269674897193908,energetic,-6.013075351715088,6.159388065338135,0.013157894736842105,1.2143690586090088,2025-11-11 17:32:38
You Make My Dreams (Come True),Daryl Hall & John Oates,audiodata://Daryl Hall & John Oates/You Make My Dreams (Come True),161.4990234375,0.7157541500483451,F Major,0.13628945767243125,0.19869567453861237,-0.2164839775570258,0.41293476382945016,2348.2609446821994,4/4,0.7897391349077224,energetic,-13.839765548706055,23.997200870513915,0.0565015479876161,1.1720812320709229,2025-11-11 17:32:37
