Title,Artist,Preview URL,BPM,BPM Confidence (%),Key,Key Confidence (%),Energy (%),Danceability (%),Acousticness (%),Brightness (Hz),Time Signature,Valence (%),Mood,Loudness (dB),Dynamic Range (dB),Silence Ratio (%),Analysis Duration (s),Analyzed At
Young Hearts Run Free,Candi Staton,audiodata://Candi Staton/Young Hearts Run Free,112.347,76.7,C Major,12.9,60.1,75.4,44.6,2215.9,4/4,67.0,happy,-5.12,7.88,0.0,1.02,2025-11-12 05:08:39
You're the Voice,John Farnham,audiodata://John Farnham/You're the Voice,112.347,69.9,F Minor,14.2,39.2,66.8,52.1,1917.1,4/4,32.8,tense,-11.24,17.94,1.7,1.04,2025-11-12 05:08:38
You're Still The One,Shania Twain,audiodata://Shania Twain/You're Still The One,135.999,77.6,D# Major,12.6,47.6,67.8,40.1,2397.0,4/4,84.5,energetic,-14.73,25.4,1.16,1.05,2025-11-12 05:08:37
You'll Think Of Me - Single Version,Keith Urban,audiodata://Keith Urban/You'll Think Of Me - Single Version,112.347,68.3,F# Minor,11.3,56.2,67.0,15.5,3381.8,4/4,36.2,neutral,-21.8,76.82,15.25,1.0,2025-11-12 05:08:36
You Spin Me Round (Like a Record),Dead Or Alive,audiodata://Dead Or Alive/You Spin Me Round (Like a Record),129.199,76.8,F# Major,12.5,62.7,77.7,26.2,2951.1,4/4,87.5,energetic,-7.89,8.79,3.64,1.0,2025-11-12 05:08:35
You Shook Me All Night Long,AC/DC,audiodata://AC/DC/You Shook Me All Night Long,123.047,55.8,D Major,14.0,60.8,80.7,40.0,2398.6,4/4,87.2,energetic,-12.53,18.77,1.47,1.04,2025-11-12 05:08:34
You Really Got Me - 2015 Remaster,Van Halen,audiodata://Van Halen/You Really Got Me - 2015 Remaster,135.999,59.8,G# Major,10.9,53.7,68.3,30.8,2769.6,4/4,85.7,energetic,-7.23,9.61,0.62,1.05,2025-11-12 05:08:32
You Oughta Know - 2015 Remaster,Alanis Morissette,audiodata://Alanis Morissette/You Oughta Know - 2015 Remaster,103.359,72.9,F# Major,10.3,56.6,67.4,17.7,3290.6,4/4,66.3,happy,-16.28,28.24,0.93,1.03,2025-11-12 05:08:31
You Never Can Tell,Chuck Berry,audiodata://Chuck Berry/You Never Can Tell,161.499,77.1,G Major,11.8,54.8,72.4,53.7,1853.9,4/4,86.0,energetic,-6.01,6.16,1.32,1.02,2025-11-12 05:08:30
You Make My Dreams (Come True),Daryl Hall & John Oates,audiodata://Daryl Hall & John Oates/You Make My Dreams (Come True),161.499,71.6,F Major,13.6,59.4,74.2,41.3,2348.3,4/4,86.9,energetic,-13.84,24.0,5.65,1.0,2025-11-12 05:08:29
You Know You Like It,DJ Snake/AlunaGeorge,audiodata://DJ Snake/AlunaGeorge/You Know You Like It,129.199,57.4,C Major,13.1,57.6,67.5,45.1,2194.8,4/4,86.5,energetic,-13.54,19.98,2.01,1.02,2025-11-12 05:08:28
You Give Love A Bad Name,Bon Jovi,audiodata://Bon Jovi/You Give Love A Bad Name,123.047,78.5,A# Major,10.8,54.5,63.8,30.0,2799.4,4/4,85.9,energetic,-14.92,21.28,6.19,1.06,2025-11-12 05:08:27
You Get What You Give,New Radicals,audiodata://New Radicals/You Get What You Give,112.347,80.5,D Major,10.7,57.5,67.8,32.2,2710.4,4/4,66.5,happy,-8.53,19.54,0.39,1.01,2025-11-12 05:08:26
You Dropped A Bomb On Me,The Gap Band,audiodata://The Gap Band/You Dropped A Bomb On Me,123.047,80.2,E Major,11.4,62.2,74.3,28.4,2863.9,4/4,87.4,energetic,-12.37,15.97,0.08,1.01,2025-11-12 05:08:24
You Can't Hurry Love - 2016 Remaster,Phil Collins,audiodata://Phil Collins/You Can't Hurry Love - 2016 Remaster,99.384,80.6,G Major,13.7,52.3,78.8,32.4,2705.5,4/4,65.5,happy,-5.23,7.9,1.78,1.01,2025-11-12 05:08:23
You Can't Change That,Ray Parker Jr./Raydio,audiodata://Ray Parker Jr./Raydio/You Can't Change That,172.266,76.9,B Major,11.7,51.1,72.0,46.3,2148.8,4/4,85.2,energetic,-8.81,12.17,0.77,1.01,2025-11-12 05:08:22
You Can Call Me Al,Paul Simon,audiodata://Paul Simon/You Can Call Me Al,129.199,78.9,C Major,10.6,46.6,75.4,50.9,1964.5,4/4,84.3,energetic,-10.98,14.26,0.54,1.03,2025-11-12 05:08:21
