#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Google BPM,Google Key,Truth Key,Songwise Key (Sheet),Key Quality
1,I Knew I Loved You,Savage Garden,72,85,,,Affirmation,1999-11-09,04:10,61,50,32,0,74,0,0,-10,A,4,2025-11-18,6nozDLxeL0TE4MS9GqYU1v,Columbia,11B,USSM19910036,,A Major,A Major,A Major,
2,Faint,Linkin Park,71,135,"nu metal, rap metal, rock, alternative metal","Metal, Rock, Hip Hop",Meteora (Bonus Edition),2003-03-25,02:42,55,98,13,0,61,10,0,-4,E,4,2025-11-18,7AB0cUXnzuSlAnyHOqmrZr,Warner Records,12B,USWB10300468,,F# Minor,C# Minor,C# Minor,
3,All Along the Watchtower,Jimi Hendrix,74,113,"psychedelic rock, classic rock, acid rock, blues rock","Rock, Blues",Electric Ladyland,1968-10-25,04:00,44,81,0,0,56,0,0,-6,G#/A♭,4,2025-11-18,2aoo2jlRnM3A0NyLQqMN2f,Legacy Recordings,4B,USQX90900749,,C# Minor,C Minor,C Minor,
4,Black Tangled Heart,Silverchair,25,138,"grunge, post-grunge",Rock,Neon Ballroom,1999-03-08,04:33,48,55,16,2,16,0,20,-7,F,3,2025-11-18,1LKsr2VgtyUghNoTWoPEXS,Sony Music Entertainment,7B,AUSM09800230,,E Minor,E Minor,E Minor,
5,Señorita,Justin Timberlake,67,98,,,Justified,2002-11-04,04:54,84,63,7,0,88,0,0,-5,C♯/D♭,4,2025-11-18,0aj2QKJvz6CePykmlTApiD,Jive,3B,USJI10200363,,D Minor,D# Minor,D# Minor,
6,She Loves You - 2023 Mix,The Beatles,48,75,"classic rock, psychedelic rock",Rock,The Beatles 1962 – 1966 (2023 Edition),2023-11-10,02:22,40,85,39,0,94,0,0,-7,C,4,2025-11-18,01K1zFyjJhG2Qk7PIkSAEA,UMC (Universal Music Catalogue),8B,GBUM72306529,,G Major,G Major,B Minor,
7,Now And Then,The Beatles,53,87,"classic rock, psychedelic rock",Rock,The Beatles 1967 – 1970 (2023 Edition),2023-11-10,04:08,44,54,20,0,38,0,30,-8,A minor,4,2025-11-18,7eT64Q8X2RsgMm4lqtWK4n,UMC (Universal Music Catalogue),8A,GBUM72203947,,E Major,E Minor,E Minor,
8,Here Comes The Sun - Take 9,The Beatles,45,127,"classic rock, psychedelic rock",Rock,Abbey Road (Super Deluxe Edition),2019-09-27,03:40,58,56,4,0,56,0,0,-12,A,4,2025-11-18,5M330VM7N8gPrYfia5nf25,UMC (Universal Music Catalogue),11B,GBUM71903356,,A Major,A Major,A Major,
10,Sunsets,Powderfinger,57,167,,,Vulture Street,2003-01-01,03:49,28,86,0,4,70,0,0,-4,D,4,2025-11-18,1dXFZeIjgDJ8sAc1csFNY2,Universal Music Australia Pty. Ltd.,10B,AUUM00330026,,D Major,D Major,D Major,
11,Semi-Charmed Life - 2006 Remaster,Third Eye Blind,38,102,,,A Collection,2006-07-18,04:28,63,89,1,0,72,0,30,-5,G,4,2025-11-18,4XGdSnLIlE9BqySbTWxf7r,Rhino/Elektra,9B,USEE10608087,,G Major,G Major,G Major,
