#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Pretty Fly (For A White Guy)","The Offspring",78,143,"punk, skate punk","Rock","Americana",1998-11-16,03:08,72,90,9,0,96,10,0,-4,B minor,4,2025-11-12,3SFXsFpeGmBTtQvKiwYMDA,"Concord Records",10A,USSM19804199
2,"Semi-Charmed Life","Third Eye Blind",79,102,"","","Third Eye Blind",1997-04-08,04:28,64,86,1,0,70,0,10,-7,G,4,2025-11-12,42et6fnHCw1HIPSrdPprMl,"Rhino/Elektra",9B,USEE19701203
3,"LUNCH","Billie Eilish",81,125,"","","HIT ME HARD AND SOFT",2024-05-17,02:59,89,40,5,8,95,0,0,-8,B minor,4,2025-11-12,629DixmZGHc7ILtEntuiWE,"Darkroom/Interscope Records",10A,USUM72401991
4,"You're Still The One","Shania Twain",71,134,"country","Country","Come On Over",1997-11-04,03:32,59,49,36,0,63,0,0,-9,D#/E♭,4,2025-11-12,1wb4P4F0sxAQ2KXrRvsx6n,"Mercury Nashville",5B,USMR19887499
5,"Islands in the Stream","Dolly Parton, Kenny Rogers",71,204,"country, classic country","Country","Dolly",2009-10-30,04:09,59,47,68,0,74,0,0,-10,G#/A♭,4,2025-11-12,4mnOVRRXsaqg9Nb041xR8u,"Legacy Recordings",4B,USRN19600175
6,"Walking in Memphis","Marc Cohn",68,130,"","","Marc Cohn",1991-02-08,04:12,57,51,55,0,33,0,30,-9,C,4,2025-11-12,5fgkjhICZnqFctrV0AyuQD,"Rhino",8B,USAT29900737
7,"good 4 u","Scary Pockets, India Carney",24,133,"funk, retro soul","R&B","Stank Face",2023-01-13,03:45,54,70,14,0,52,0,0,-6,A#/B♭ minor,4,2025-11-12,51fn9GXSrx0vFim2XUr5Bo,"Pockets, Inc.",3A,QZPJ32203473
8,"You Make My Dreams (Come True)","Daryl Hall & John Oates",80,167,"yacht rock, soft rock","Rock, Pop","Voices",1980-00-00,03:10,75,50,23,11,90,0,0,-12,F,4,2025-11-12,4o6BgsqLIBViaGVbx5rbRk,"RCA/BMG Heritage",7B,USRC10301828
9,"Lose Control","Teddy Swims",89,160,"","","I've Tried Everything But Therapy (Part 1)",2023-09-15,03:30,56,60,20,0,24,0,10,-4,A,3,2025-11-12,17phhZDn6oGtzMe56NuWvj,"Warner Records",11B,USWB12302315
10,"I Believe in a Thing Called Love","The Darkness",72,128,"glam metal","Metal, Rock","Permission to Land",2003-07-07,03:36,45,89,5,0,63,0,20,-2,E,4,2025-11-12,756CJtQRFSxEx9jV4P9hpA,"Atlantic Records",12B,GBAHS0300635
