#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Young Hearts Run Free","Candi Staton",71,115,"","","Young Hearts Run Free (US Internet Release)",1976-00-00,04:08,65,65,13,0,85,0,20,-9,G minor,4,2025-11-11,3MFa9idQuY4iJLWsZl3tIQ,"Rhino/Warner Records",6A,USWB19700370
2,"You're the Voice","John Farnham",63,85,"","","Whispering Jack",1986-00-00,05:00,50,66,39,0,72,0,60,-12,A#/B♭,4,2025-11-11,721DwsHOeKf7zHRABCR2rh,"RCA Victor",6B,AUBM08641001
3,"You're Still The One","Shania Twain",71,134,"country","Country","Come On Over",1997-11-04,03:32,59,49,36,0,63,0,0,-9,D#/E♭,4,2025-11-11,1wb4P4F0sxAQ2KXrRvsx6n,"Mercury Nashville",5B,USMR19887499
4,"You’ll Think Of Me","Keith Urban",61,83,"country","Country","Golden Road",2002-10-04,04:53,58,49,37,0,45,0,10,-11,D,4,2025-11-11,68Iw932AjRCDEPLIzpmOtF,"Capitol Nashville",10B,USCN10200234
5,"You Spin Me Round (Like a Record)","Dead Or Alive",73,128,"hi-nrg, synthpop","Electronic, Pop","Evolution: The Hits",2003-05-19,03:15,55,96,0,7,92,0,40,-4,F#/G♭ minor,4,2025-11-11,1ChulFMnwxoD74Me8eX2TU,"Epic",11A,GBBBM8400015
6,"You Shook Me All Night Long","AC/DC",82,127,"rock, hard rock, classic rock, rock and roll","Rock","Back In Black",1980-07-25,03:30,53,77,0,0,76,0,30,-6,G,4,2025-11-11,2SiXAy7TuUkycRVbbWDEpo,"Columbia",9B,AUAP08000047
7,"You Really Got Me - 2015 Remaster","Van Halen",67,138,"glam metal, classic rock, rock, hard rock","Rock, Metal","Van Halen (Remastered)",1978-02-10,02:36,45,95,2,0,65,10,10,-6,C♯/D♭ minor,4,2025-11-11,0upLyFR8Rr52ZpMp5esQoq,"Rhino/Warner Records",12A,USWB11403670
8,"You Oughta Know","Alanis Morissette",54,105,"","","The Collection (Standard Edition)",2005-11-11,04:09,64,86,23,0,47,0,80,-7,E,4,2025-11-11,17ZAZ24Eyh5fKqQ06u4R3d,"Maverick",12B,USMV20500300
9,"You Never Can Tell","Chuck Berry",70,157,"rockabilly, rock and roll","Rock","St. Louis To Liverpool",1964-11-01,02:41,53,85,73,0,88,20,20,-10,G,4,2025-11-11,6FT83pFXKhDlXDsNJFAHWz,"Geffen",9B,USMC16419660
10,"You Make My Dreams (Come True)","Daryl Hall & John Oates",80,167,"yacht rock, soft rock","Rock, Pop","Voices",1980-00-00,03:10,75,50,23,11,90,0,0,-12,F,4,2025-11-11,4o6BgsqLIBViaGVbx5rbRk,"RCA/BMG Heritage",7B,USRC10301828
